source,target,value
煤炭,发电,4800
天然气,发电,3200
核能,发电,2100
水力,发电,1500
风能,发电,1800
太阳能,发电,1200
生物质能,发电,600
发电,工业用电,5200
发电,商业用电,2800
发电,居民用电,3500
发电,交通用电,1800
发电,农业用电,900
发电,输电损耗,800
煤炭,化工原料,1200
天然气,居民用气,1800
天然气,工业燃料,900
石油,交通运输,4500
石油,化工原料,2200
石油,工业燃料,1500
太阳能,热利用,800
风能,制氢,400
水力,农业灌溉,600
工业用电,制造业,3200
工业用电,采矿业,1100
工业用电,建筑业,900
商业用电,数据中心,1200
商业用电,商业照明,900
商业用电,暖通空调,700
居民用电,家电设备,1800
居民用电,照明,800
居民用电,取暖制冷,900
交通用电,电动汽车,1200
交通用电,轨道交通,600
制造业,钢铁,1200
制造业,电子,800
制造业,纺织,600
制造业,食品加工,600
化工原料,塑料生产,1800
化工原料,化肥生产,900
化工原料,制药,700
交通运输,公路运输,2800
交通运输,航空运输,1200
交通运输,水运,500
